Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
56624,53,36589,53,allow,177,94,83,2,31,1,1
64094,1024,62040,1024,allow,70,70,0,1,5,1,0
52126,443,21159,443,allow,1672,1149,523,13,37,8,5
52144,80,16896,80,allow,366,240,126,7,33,5,2
50816,443,50681,443,allow,134,60,74,3,6,2,1
50057,80,26007,80,allow,1570,754,816,10,16,6,4
52146,80,44068,80,allow,366,240,126,7,33,5,2
54139,53,64934,53,allow,168,78,90,2,31,1,1
49410,53,29049,53,allow,177,94,83,2,31,1,1
52148,80,27900,80,allow,366,240,126,7,33,5,2
49900,443,28761,443,allow,1820,1101,719,18,73,10,8
43931,53,36161,53,allow,168,78,90,2,31,1,1
51048,445,0,0,drop,70,70,0,1,0,1,0
51045,445,0,0,drop,70,70,0,1,0,1,0
55725,445,0,0,drop,70,70,0,1,0,1,0
55723,445,0,0,drop,70,70,0,1,0,1,0
55724,445,0,0,drop,70,70,0,1,0,1,0
51125,445,0,0,drop,66,66,0,1,0,1,0
51123,445,0,0,drop,66,66,0,1,0,1,0
51122,445,0,0,drop,66,66,0,1,0,1,0
51121,445,0,0,drop,66,66,0,1,0,1,0
51126,445,0,0,drop,66,66,0,1,0,1,0
51124,445,0,0,drop,66,66,0,1,0,1,0
51120,445,0,0,drop,66,66,0,1,0,1,0
51119,445,0,0,drop,66,66,0,1,0,1,0
51041,445,0,0,drop,70,70,0,1,0,1,0
51039,445,0,0,drop,70,70,0,1,0,1,0
55718,445,0,0,drop,70,70,0,1,0,1,0
55717,445,0,0,drop,70,70,0,1,0,1,0
55713,445,0,0,drop,70,70,0,1,0,1,0
55708,445,0,0,drop,70,70,0,1,0,1,0
51034,445,0,0,drop,70,70,0,1,0,1,0
51107,445,0,0,drop,66,66,0,1,0,1,0
51105,445,0,0,drop,66,66,0,1,0,1,0
51104,445,0,0,drop,66,66,0,1,0,1,0
55703,445,0,0,drop,70,70,0,1,0,1,0
55701,445,0,0,drop,70,70,0,1,0,1,0
55696,445,0,0,drop,70,70,0,1,0,1,0
55698,445,0,0,drop,70,70,0,1,0,1,0
51021,445,0,0,drop,70,70,0,1,0,1,0
51018,445,0,0,drop,70,70,0,1,0,1,0
55686,445,0,0,drop,70,70,0,1,0,1,0
55683,445,0,0,drop,70,70,0,1,0,1,0
55679,445,0,0,drop,70,70,0,1,0,1,0
51095,445,0,0,drop,66,66,0,1,0,1,0
51014,445,0,0,drop,70,70,0,1,0,1,0
51012,445,0,0,drop,70,70,0,1,0,1,0
51010,445,0,0,drop,70,70,0,1,0,1,0
55678,445,0,0,drop,70,70,0,1,0,1,0
55677,445,0,0,drop,70,70,0,1,0,1,0
51080,445,0,0,drop,66,66,0,1,0,1,0
51076,445,0,0,drop,66,66,0,1,0,1,0
51003,445,0,0,drop,70,70,0,1,0,1,0
51001,445,0,0,drop,70,70,0,1,0,1,0
55667,445,0,0,drop,70,70,0,1,0,1,0
55665,445,0,0,drop,70,70,0,1,0,1,0
55660,445,0,0,drop,70,70,0,1,0,1,0
55658,445,0,0,drop,70,70,0,1,0,1,0
51000,445,0,0,drop,70,70,0,1,0,1,0
51071,445,0,0,drop,66,66,0,1,0,1,0
50999,445,0,0,drop,70,70,0,1,0,1,0
50998,445,0,0,drop,70,70,0,1,0,1,0
50995,445,0,0,drop,70,70,0,1,0,1,0
50992,445,0,0,drop,70,70,0,1,0,1,0
51067,445,0,0,drop,66,66,0,1,0,1,0
51066,445,0,0,drop,66,66,0,1,0,1,0
51065,445,0,0,drop,66,66,0,1,0,1,0
51062,445,0,0,drop,66,66,0,1,0,1,0
51057,445,0,0,drop,66,66,0,1,0,1,0
51063,445,0,0,drop,66,66,0,1,0,1,0
51059,445,0,0,drop,66,66,0,1,0,1,0
55651,445,0,0,drop,70,70,0,1,0,1,0
55648,445,0,0,drop,70,70,0,1,0,1,0
55646,445,0,0,drop,70,70,0,1,0,1,0
55644,445,0,0,drop,70,70,0,1,0,1,0
50980,445,0,0,drop,70,70,0,1,0,1,0
50979,445,0,0,drop,70,70,0,1,0,1,0
50975,445,0,0,drop,70,70,0,1,0,1,0
50970,445,0,0,drop,70,70,0,1,0,1,0
50969,445,0,0,drop,70,70,0,1,0,1,0
56624,53,45708,53,allow,170,87,83,2,30,1,1
46898,53,46898,53,allow,194,87,107,2,30,1,1
39430,443,21846,443,allow,506,292,214,8,50,5,3
48550,443,45303,443,allow,778,358,420,12,43,6,6
47845,53,47845,53,allow,243,94,149,2,32,1,1
56674,443,44964,443,allow,237,177,60,3,5,2,1
54996,53,39612,53,allow,168,86,82,2,35,1,1
56911,53,21649,53,allow,170,87,83,2,30,1,1
49935,53,10954,53,allow,75,75,0,1,30,1,0
52852,53,0,0,allow,82,82,0,1,30,1,0
59226,53,59226,53,allow,194,87,107,2,30,1,1
55674,53,14625,53,allow,744,89,655,2,31,1,1
40814,53,40814,53,allow,213,87,126,2,31,1,1
56730,53,30044,53,allow,170,87,83,2,31,1,1
46713,53,46713,53,allow,217,87,130,2,31,1,1
56434,53,6758,53,allow,701,88,613,2,31,1,1
53151,53,29237,53,allow,168,78,90,2,31,1,1
64288,53,54415,53,allow,398,103,295,4,41,2,2
64087,80,46757,80,allow,314,192,122,6,15,4,2
56052,53,22562,53,allow,177,94,83,2,30,1,1
52150,80,40663,80,allow,546,300,246,10,32,6,4
55641,445,0,0,drop,70,70,0,1,0,1,0
55642,445,0,0,drop,70,70,0,1,0,1,0
55640,445,0,0,drop,70,70,0,1,0,1,0
51050,445,0,0,drop,66,66,0,1,0,1,0
55635,445,0,0,drop,70,70,0,1,0,1,0
50957,445,0,0,drop,70,70,0,1,0,1,0
51047,445,0,0,drop,66,66,0,1,0,1,0
51046,445,0,0,drop,66,66,0,1,0,1,0
51045,445,0,0,drop,66,66,0,1,0,1,0
51042,445,0,0,drop,66,66,0,1,0,1,0
51414,22,0,0,deny,60,60,0,1,0,1,0
50951,445,0,0,drop,70,70,0,1,0,1,0
55633,445,0,0,drop,70,70,0,1,0,1,0
55622,445,0,0,drop,70,70,0,1,0,1,0
52145,80,50375,80,allow,366,240,126,7,32,5,2
52162,443,20113,443,allow,1461,924,537,13,31,7,6
56504,53,24881,53,allow,198,102,96,2,32,1,1
52143,80,6472,80,allow,366,240,126,7,32,5,2
52147,80,1117,80,allow,366,240,126,7,32,5,2
52157,80,19874,80,allow,366,240,126,7,32,5,2
55526,80,37218,80,allow,78,78,0,2,8,2,0
52151,80,38473,80,allow,546,300,246,10,32,6,4
56624,53,34436,53,allow,177,94,83,2,30,1,1
49795,53,44891,53,allow,263,94,169,2,30,1,1
50057,53,37422,53,allow,177,94,83,2,30,1,1
55306,53,39881,53,allow,177,94,83,2,30,1,1
52159,80,23650,80,allow,502,310,192,9,31,6,3
52153,80,26645,80,allow,366,240,126,7,32,5,2
60291,53,5136,53,allow,78,78,0,1,30,1,0
56555,53,42493,53,allow,348,94,254,2,30,1,1
49436,53,61599,53,allow,718,94,624,2,30,1,1
64226,53,54672,53,allow,245,94,151,2,30,1,1
56741,53,5499,53,allow,370,94,276,2,30,1,1
51041,80,59300,80,allow,1514,480,1034,11,15,6,5
56663,53,41717,53,allow,181,94,87,2,33,1,1
56440,53,62063,53,allow,212,102,110,2,30,1,1
56052,53,19569,53,allow,177,94,83,2,30,1,1
53971,80,16324,80,allow,662,448,214,10,15,7,3
64196,53,65372,53,allow,262,94,168,2,30,1,1
38330,123,58815,123,allow,184,94,90,2,30,1,1
49935,53,45170,53,allow,168,86,82,2,30,1,1
55639,53,27613,53,allow,244,94,150,2,30,1,1
53470,53,29709,53,allow,168,78,90,2,30,1,1
51986,80,28001,80,allow,1420,888,532,11,49,7,4
50563,53,11644,53,allow,718,94,624,2,30,1,1
52152,80,10469,80,allow,366,240,126,7,32,5,2
56521,53,35277,53,allow,305,86,219,2,30,1,1
65078,53,19268,53,allow,177,94,83,2,30,1,1
52142,80,50942,80,allow,246,120,126,5,32,3,2
52155,80,52769,80,allow,366,240,126,7,32,5,2
52161,443,17095,443,allow,1461,924,537,13,31,7,6
52158,80,31502,80,allow,502,310,192,9,31,6,3
52154,80,54882,80,allow,366,240,126,7,32,5,2
49899,443,6307,443,allow,1820,1101,719,18,72,10,8
49668,443,64842,443,allow,1288,754,534,13,50,5,8
57242,53,53275,53,allow,184,86,98,2,29,1,1
60833,443,43148,443,allow,1157,817,340,10,26,5,5
56172,53,12622,53,allow,253,87,166,4,29,2,2
56663,53,55920,53,allow,181,94,87,2,30,1,1
56773,80,16432,80,allow,1462,703,759,8,16,5,3
55806,53,2252,53,allow,200,102,98,2,30,1,1
56624,53,60055,53,allow,328,87,241,4,52,2,2
56667,53,36173,53,allow,232,94,138,2,30,1,1
56684,53,5087,53,allow,194,94,100,2,30,1,1
65001,53,27011,53,allow,200,78,122,2,30,1,1
56751,53,35800,53,allow,177,94,83,2,30,1,1
55848,53,3289,53,allow,387,134,253,2,30,1,1
65484,53,10578,53,allow,195,86,109,2,30,1,1
49695,53,29724,53,allow,240,102,138,2,30,1,1
64877,53,41929,53,allow,209,110,99,2,30,1,1
43516,53,56876,53,allow,168,78,90,2,30,1,1
51946,80,42668,80,allow,1716,952,764,13,69,8,5
52160,80,10438,80,allow,502,310,192,9,31,6,3
57986,80,48652,80,allow,1056,682,374,10,15,6,4
49410,53,59985,53,allow,324,87,237,4,55,2,2
54877,53,59244,53,allow,199,94,105,2,30,1,1
49432,53,21540,53,allow,199,94,105,2,30,1,1
49743,53,1715,53,allow,210,94,116,2,30,1,1
49913,53,15271,53,allow,177,94,83,2,30,1,1
55072,53,55776,53,allow,177,94,83,2,30,1,1
49980,53,9358,53,allow,168,94,74,2,31,1,1
55306,53,44864,53,allow,177,94,83,2,31,1,1
65078,53,50659,53,allow,177,94,83,2,30,1,1
49980,53,26131,53,allow,152,78,74,2,30,1,1
55065,53,9474,53,allow,168,78,90,2,30,1,1
45151,53,40658,53,allow,168,78,90,2,30,1,1
55072,53,50967,53,allow,177,94,83,2,31,1,1
50064,80,16215,80,allow,186,64,122,4,25,2,2
57262,53,45135,53,allow,94,94,0,1,30,1,0
49964,53,64934,53,allow,749,94,655,2,30,1,1
56751,53,10691,53,allow,177,94,83,2,30,1,1
55563,53,42353,53,allow,177,94,83,2,30,1,1
55619,445,0,0,drop,70,70,0,1,0,1,0
50942,445,0,0,drop,70,70,0,1,0,1,0
50939,445,0,0,drop,70,70,0,1,0,1,0
50941,445,0,0,drop,70,70,0,1,0,1,0
50937,445,0,0,drop,70,70,0,1,0,1,0
50935,445,0,0,drop,70,70,0,1,0,1,0
51032,445,0,0,drop,66,66,0,1,0,1,0
51024,445,0,0,drop,66,66,0,1,0,1,0
55608,445,0,0,drop,70,70,0,1,0,1,0
50928,445,0,0,drop,70,70,0,1,0,1,0
51021,445,0,0,drop,66,66,0,1,0,1,0
50920,445,0,0,drop,70,70,0,1,0,1,0
50917,445,0,0,drop,70,70,0,1,0,1,0
51014,445,0,0,drop,66,66,0,1,0,1,0
51007,445,0,0,drop,66,66,0,1,0,1,0
50913,445,0,0,drop,70,70,0,1,0,1,0
50912,445,0,0,drop,70,70,0,1,0,1,0
55597,445,0,0,drop,70,70,0,1,0,1,0
55595,445,0,0,drop,70,70,0,1,0,1,0
55596,445,0,0,drop,70,70,0,1,0,1,0
50996,445,0,0,drop,66,66,0,1,0,1,0
50997,445,0,0,drop,66,66,0,1,0,1,0
50998,445,0,0,drop,66,66,0,1,0,1,0
50991,445,0,0,drop,66,66,0,1,0,1,0
50995,445,0,0,drop,66,66,0,1,0,1,0
50994,445,0,0,drop,66,66,0,1,0,1,0
50993,445,0,0,drop,66,66,0,1,0,1,0
50990,445,0,0,drop,66,66,0,1,0,1,0
50908,445,0,0,drop,70,70,0,1,0,1,0
50907,445,0,0,drop,70,70,0,1,0,1,0
50902,445,0,0,drop,70,70,0,1,0,1,0
55593,445,0,0,drop,70,70,0,1,0,1,0
55592,445,0,0,drop,70,70,0,1,0,1,0
55582,445,0,0,drop,70,70,0,1,0,1,0
55580,445,0,0,drop,70,70,0,1,0,1,0
50978,445,0,0,drop,66,66,0,1,0,1,0
50976,445,0,0,drop,66,66,0,1,0,1,0
50975,445,0,0,drop,66,66,0,1,0,1,0
55575,445,0,0,drop,70,70,0,1,0,1,0
55569,445,0,0,drop,70,70,0,1,0,1,0
55568,445,0,0,drop,70,70,0,1,0,1,0
55567,445,0,0,drop,70,70,0,1,0,1,0
50889,445,0,0,drop,70,70,0,1,0,1,0
50886,445,0,0,drop,70,70,0,1,0,1,0
55558,445,0,0,drop,70,70,0,1,0,1,0
55555,445,0,0,drop,70,70,0,1,0,1,0
55551,445,0,0,drop,70,70,0,1,0,1,0
50963,445,0,0,drop,66,66,0,1,0,1,0
50882,445,0,0,drop,70,70,0,1,0,1,0
50880,445,0,0,drop,70,70,0,1,0,1,0
50878,445,0,0,drop,70,70,0,1,0,1,0
55550,445,0,0,drop,70,70,0,1,0,1,0
55547,445,0,0,drop,70,70,0,1,0,1,0
50871,445,0,0,drop,70,70,0,1,0,1,0
50950,445,0,0,drop,66,66,0,1,0,1,0
50947,445,0,0,drop,66,66,0,1,0,1,0
50869,445,0,0,drop,70,70,0,1,0,1,0
55410,53,27764,53,allow,711,87,624,2,30,1,1
55059,53,53925,53,allow,711,87,624,2,30,1,1
55613,53,34338,53,allow,170,87,83,2,30,1,1
52277,443,52277,443,allow,1880,941,939,17,21,7,10
56434,53,56434,53,allow,243,94,149,2,32,1,1
55893,53,56779,53,allow,711,87,624,2,30,1,1
55836,53,8077,53,allow,170,87,83,2,31,1,1
64928,53,11072,53,allow,762,98,664,2,30,1,1
56752,53,39858,53,allow,701,88,613,2,30,1,1
50895,443,61149,443,allow,130,70,60,3,5,2,1
55100,53,57209,53,allow,711,87,624,2,30,1,1
59895,53,59895,53,allow,643,88,555,2,30,1,1
50868,445,0,0,drop,70,70,0,1,0,1,0
55538,445,0,0,drop,70,70,0,1,0,1,0
55532,445,0,0,drop,70,70,0,1,0,1,0
55530,445,0,0,drop,70,70,0,1,0,1,0
55529,445,0,0,drop,70,70,0,1,0,1,0
50867,445,0,0,drop,70,70,0,1,0,1,0
50866,445,0,0,drop,70,70,0,1,0,1,0
50862,445,0,0,drop,70,70,0,1,0,1,0
50861,445,0,0,drop,70,70,0,1,0,1,0
50945,445,0,0,drop,66,66,0,1,0,1,0
50934,445,0,0,drop,66,66,0,1,0,1,0
50936,445,0,0,drop,66,66,0,1,0,1,0
50938,445,0,0,drop,66,66,0,1,0,1,0
50932,445,0,0,drop,66,66,0,1,0,1,0
55590,53,20424,53,allow,177,94,83,2,30,1,1
50929,445,0,0,drop,66,66,0,1,0,1,0
50927,445,0,0,drop,66,66,0,1,0,1,0
50928,445,0,0,drop,66,66,0,1,0,1,0
50848,445,0,0,drop,70,70,0,1,0,1,0
50847,445,0,0,drop,70,70,0,1,0,1,0
50843,445,0,0,drop,70,70,0,1,0,1,0
55523,445,0,0,drop,70,70,0,1,0,1,0
50838,445,0,0,drop,70,70,0,1,0,1,0
50837,445,0,0,drop,70,70,0,1,0,1,0
55520,445,0,0,drop,70,70,0,1,0,1,0
55518,445,0,0,drop,70,70,0,1,0,1,0
55516,445,0,0,drop,70,70,0,1,0,1,0
50826,445,0,0,drop,70,70,0,1,0,1,0
55514,445,0,0,drop,70,70,0,1,0,1,0
55515,445,0,0,drop,70,70,0,1,0,1,0
55509,445,0,0,drop,70,70,0,1,0,1,0
52231,1026,54310,1026,allow,136,136,0,3,14,3,0
57441,53,7425,53,allow,177,94,83,2,30,1,1
51502,80,42285,80,allow,1515,481,1034,11,15,6,5
64581,53,7849,53,allow,514,88,426,4,42,2,2
50008,53,2633,53,allow,232,94,138,2,29,1,1
47159,443,53350,443,allow,777,432,345,10,15,5,5
46452,53,46452,53,allow,247,98,149,2,32,1,1
49913,53,61333,53,allow,177,94,83,2,29,1,1
55563,53,47396,53,allow,177,94,83,2,29,1,1
55135,53,55135,53,allow,220,90,130,2,29,1,1
50705,80,25198,80,allow,499,192,307,6,26,4,2
50697,80,65344,80,allow,318,192,126,6,27,4,2
60526,443,60526,443,allow,1462,863,599,15,37,9,6
47009,53,0,0,allow,86,86,0,1,30,1,0
65077,53,33139,53,allow,734,86,648,2,30,1,1
41431,443,64563,443,allow,190,70,120,4,15,2,2
37419,443,55901,443,allow,558,210,348,9,28,4,5
60372,53,60372,53,allow,222,90,132,2,30,1,1
55836,53,20362,53,allow,177,94,83,2,30,1,1
55613,53,57785,53,allow,177,94,83,2,30,1,1
65139,53,12315,53,allow,210,102,108,2,30,1,1
50700,80,14024,80,allow,648,256,392,8,27,5,3
50704,80,8069,80,allow,499,192,307,6,26,4,2
43744,53,43744,53,allow,235,90,145,2,32,1,1
57441,53,33174,53,allow,177,94,83,2,30,1,1
56022,53,29566,53,allow,728,102,626,2,30,1,1
53705,443,25596,443,allow,1579,988,591,13,44,7,6
56275,53,54180,53,allow,177,94,83,2,30,1,1
50433,443,11749,443,allow,134,60,74,3,10,2,1
55806,53,43969,53,allow,200,102,98,2,32,1,1
50057,53,42578,53,allow,177,94,83,2,29,1,1
56730,53,39267,53,allow,177,94,83,2,29,1,1
53024,123,1742,123,allow,184,94,90,2,30,1,1
56730,53,28037,53,allow,177,94,83,2,30,1,1
55306,53,18601,53,allow,177,94,83,2,29,1,1
55354,53,28658,53,allow,168,94,74,2,30,1,1
54351,53,59901,53,allow,168,78,90,2,29,1,1
55613,53,25861,53,allow,177,94,83,2,30,1,1
55613,53,1186,53,allow,177,94,83,2,30,1,1
55354,53,24160,53,allow,168,94,74,2,30,1,1
43625,53,13195,53,allow,86,86,0,1,30,1,0
56730,53,28651,53,allow,177,94,83,2,30,1,1
56962,53,33318,53,allow,210,102,108,2,30,1,1
50171,53,22623,53,allow,211,78,133,2,30,1,1
65062,53,47695,53,allow,229,110,119,2,30,1,1
50698,80,39680,80,allow,318,192,126,6,27,4,2
55723,80,48588,80,allow,70,70,0,1,5,1,0
55836,53,51304,53,allow,177,94,83,2,30,1,1
46295,443,39789,443,allow,178,118,60,2,15,1,1
49335,80,26214,80,allow,1193,703,490,8,18,5,3
55650,53,22960,53,allow,179,94,85,2,31,1,1
53126,53,53126,53,allow,247,98,149,2,32,1,1
58990,53,6423,53,allow,168,78,90,2,30,1,1
40785,443,32724,443,allow,646,292,354,10,41,5,5
50253,53,23205,53,allow,167,86,81,2,31,1,1
56841,53,62125,53,allow,177,94,83,2,30,1,1
55494,53,4891,53,allow,255,102,153,2,30,1,1
50920,445,0,0,drop,66,66,0,1,0,1,0
55507,445,0,0,drop,70,70,0,1,0,1,0
50919,445,0,0,drop,66,66,0,1,0,1,0
50915,445,0,0,drop,66,66,0,1,0,1,0
50917,445,0,0,drop,66,66,0,1,0,1,0
50913,445,0,0,drop,66,66,0,1,0,1,0
50822,445,0,0,drop,70,70,0,1,0,1,0
55504,445,0,0,drop,70,70,0,1,0,1,0
50813,445,0,0,drop,70,70,0,1,0,1,0
50811,445,0,0,drop,70,70,0,1,0,1,0
50810,445,0,0,drop,70,70,0,1,0,1,0
55498,445,0,0,drop,70,70,0,1,0,1,0
55491,445,0,0,drop,70,70,0,1,0,1,0
50807,445,0,0,drop,70,70,0,1,0,1,0
50806,445,0,0,drop,70,70,0,1,0,1,0
50903,445,0,0,drop,66,66,0,1,0,1,0
50800,445,0,0,drop,70,70,0,1,0,1,0
50895,445,0,0,drop,66,66,0,1,0,1,0
55481,445,0,0,drop,70,70,0,1,0,1,0
50893,445,0,0,drop,66,66,0,1,0,1,0
50792,445,0,0,drop,70,70,0,1,0,1,0
50789,445,0,0,drop,70,70,0,1,0,1,0
50885,445,0,0,drop,66,66,0,1,0,1,0
50882,445,0,0,drop,66,66,0,1,0,1,0
50785,445,0,0,drop,70,70,0,1,0,1,0
50784,445,0,0,drop,70,70,0,1,0,1,0
50780,445,0,0,drop,70,70,0,1,0,1,0
55468,445,0,0,drop,70,70,0,1,0,1,0
55469,445,0,0,drop,70,70,0,1,0,1,0
55467,445,0,0,drop,70,70,0,1,0,1,0
50867,445,0,0,drop,66,66,0,1,0,1,0
50863,445,0,0,drop,66,66,0,1,0,1,0
50869,445,0,0,drop,66,66,0,1,0,1,0
50865,445,0,0,drop,66,66,0,1,0,1,0
50870,445,0,0,drop,66,66,0,1,0,1,0
50868,445,0,0,drop,66,66,0,1,0,1,0
50866,445,0,0,drop,66,66,0,1,0,1,0
50864,445,0,0,drop,66,66,0,1,0,1,0
50779,445,0,0,drop,70,70,0,1,0,1,0
56075,23,0,0,deny,60,60,0,1,0,1,0
50774,445,0,0,drop,70,70,0,1,0,1,0
55463,445,0,0,drop,70,70,0,1,0,1,0
55567,53,51894,53,allow,184,80,104,2,0,1,1
55458,445,0,0,drop,70,70,0,1,0,1,0
55460,445,0,0,drop,70,70,0,1,0,1,0
55452,445,0,0,drop,70,70,0,1,0,1,0
50850,445,0,0,drop,66,66,0,1,0,1,0
50848,445,0,0,drop,66,66,0,1,0,1,0
50847,445,0,0,drop,66,66,0,1,0,1,0
55448,445,0,0,drop,70,70,0,1,0,1,0
55443,445,0,0,drop,70,70,0,1,0,1,0
55441,445,0,0,drop,70,70,0,1,0,1,0
55440,445,0,0,drop,70,70,0,1,0,1,0
50761,445,0,0,drop,70,70,0,1,0,1,0
50758,445,0,0,drop,70,70,0,1,0,1,0
55430,445,0,0,drop,70,70,0,1,0,1,0
55427,445,0,0,drop,70,70,0,1,0,1,0
55423,445,0,0,drop,70,70,0,1,0,1,0
50754,445,0,0,drop,70,70,0,1,0,1,0
50752,445,0,0,drop,70,70,0,1,0,1,0
50837,445,0,0,drop,66,66,0,1,0,1,0
50750,445,0,0,drop,70,70,0,1,0,1,0
55422,445,0,0,drop,70,70,0,1,0,1,0
64431,53,52524,53,allow,170,87,83,2,31,1,1
64715,53,13561,53,allow,770,102,668,2,30,1,1
36712,53,0,0,allow,138,69,69,2,30,1,1
38400,53,0,0,allow,82,82,0,1,30,1,0
56659,53,59706,53,allow,711,87,624,2,30,1,1
57424,53,35431,53,allow,711,87,624,2,30,1,1
56838,53,49360,53,allow,170,87,83,2,30,1,1
57436,53,43639,53,allow,733,85,648,2,30,1,1
56343,53,26546,53,allow,170,87,83,2,30,1,1
52280,443,52280,443,allow,1615,941,674,15,20,7,8
56275,53,11893,53,allow,170,87,83,2,30,1,1
41774,53,0,0,allow,82,82,0,1,30,1,0
50190,53,51481,53,allow,754,94,660,2,30,1,1
55650,53,47564,53,allow,174,89,85,2,30,1,1
55797,53,58319,53,allow,170,87,83,2,31,1,1
51443,53,51443,53,allow,217,87,130,2,31,1,1
55325,53,64305,53,allow,711,87,624,2,31,1,1
56663,53,34654,53,allow,178,91,87,2,31,1,1
56882,53,4292,53,allow,87,87,0,2,61,2,0
65284,53,18214,53,allow,758,96,662,2,31,1,1
55420,445,0,0,drop,70,70,0,1,0,1,0
50743,445,0,0,drop,70,70,0,1,0,1,0
65507,53,7082,53,allow,229,102,127,2,30,1,1
53195,443,44058,443,allow,2016,1160,856,17,46,9,8
56841,53,54383,53,allow,177,94,83,2,29,1,1
50253,53,52044,53,allow,167,86,81,2,29,1,1
56838,53,18546,53,allow,177,94,83,2,29,1,1
64431,53,6973,53,allow,177,94,83,2,30,1,1
55650,53,39411,53,allow,179,94,85,2,29,1,1
50170,53,38281,53,allow,260,86,174,2,29,1,1
56755,443,63082,443,allow,1327,918,409,10,26,6,4
42441,123,34753,123,allow,184,94,90,2,30,1,1
56838,53,39774,53,allow,177,94,83,2,30,1,1
55590,53,49633,53,allow,177,94,83,2,29,1,1
50078,53,55714,53,allow,177,94,83,2,29,1,1
48783,53,0,0,allow,86,86,0,1,30,1,0
64431,53,36891,53,allow,177,94,83,2,30,1,1
57038,53,18909,53,allow,194,102,92,2,33,1,1
56092,53,34391,53,allow,177,94,83,2,30,1,1
55594,53,43491,53,allow,167,86,81,2,30,1,1
56343,53,46504,53,allow,177,94,83,2,30,1,1
51684,80,23150,80,allow,1515,481,1034,11,15,6,5
56092,53,54654,53,allow,177,94,83,2,30,1,1
55915,53,47313,53,allow,86,86,0,1,30,1,0
65330,53,32414,53,allow,733,94,639,2,30,1,1
56343,53,54537,53,allow,177,94,83,2,30,1,1
55867,53,45353,53,allow,178,94,84,2,30,1,1
55963,53,19959,53,allow,316,94,222,2,30,1,1
57038,53,31637,53,allow,194,102,92,2,30,1,1
65520,53,2299,53,allow,379,94,285,2,30,1,1
64439,53,36419,53,allow,359,134,225,2,30,1,1
51120,587,51120,587,allow,320,128,192,6,6,3,3
64996,53,37849,53,allow,547,91,456,4,35,2,2
49250,80,27382,80,allow,1623,629,994,8,75,5,3
51324,465,51324,465,allow,320,128,192,6,5,3,3
56407,53,58288,53,allow,216,102,114,2,29,1,1
56275,53,62167,53,allow,177,94,83,2,29,1,1
50078,53,19314,53,allow,185,102,83,2,29,1,1
49778,53,15143,53,allow,255,102,153,2,29,1,1
64067,53,52701,53,allow,329,94,235,2,29,1,1
49674,53,9150,53,allow,211,102,109,2,29,1,1
56343,53,52506,53,allow,177,94,83,2,29,1,1
49458,53,15275,53,allow,280,94,186,2,30,1,1
49364,53,17404,53,allow,307,307,0,4,60,4,0
55836,53,33356,53,allow,177,94,83,2,30,1,1
